baby 啤啤	婴儿。
䁓（音庄zong1）出去	向外窥视
䉺（音巷）禽禽	干巴巴，没有油水。
一一二二	①一个一个地，有次序、有条理地②清楚详尽地。
一一二二讲清楚	把前前后后来龙去脉讲清楚
一丁人结拜——你算老几	①原意为一帮人结拜，你排第几②引申为你算老几
一三五七九——无双（伤）	①某人的能力水平了不得，真的是举世无双②一场斗争下来无伤亡，无事故
一世人	一辈子
一世人两兄弟	拉关系的托词，好像这辈子就只剩我们两个了
一世估唔倒	遇到这样的事，真是一辈子也想不到
一世使唔晒	家财万贯，一辈子也用不完。
一世唔使忧	刚刚中了头奖，真是一辈子也不用优愁了。
一世流流长	形容一辈子，时间长
一个仙	一分钱
一个冇净	一个不剩
一个半斤，一个八两——冇两样	一杆老式秤，一杆新式秤，大家一样。
一个对	一日一夜刚刚24时
一个崩	形容很少的钱，一个硬币的钱
一个崩都冇	穷得叮当响，一个子儿也没有
一个弹,一个唱	一个唱红脸，一个唱白脸
一个揸笔，一个揿纸	比喻浪费人力
一个教头一路拳——各施各法	比喻我们不要求別人用同样的硬方法，只要达到目的就行了
一个荔枝三把火	普遍认为荔枝燥热，容易上火。
一个萝卜、一个坑——冇多冇少	比喻职场上一个人负责一项工作，没多没少
一个萝卜一个氹	形容职场上一个人一个岗位，不会有吃閒饭的人存在。
一个都冇净	谁也逃不掉，一锅端。
一个饼印	形容父子、母女长得很相似，一模一样
一于	就这么定
一于噉话	就这么决定，就这样行动。
一于懒理	①不理睬②不管啦
一于系噉话	就这么定了，就按这样办。
一五一十	和盘托出，把事情的来龙去脉讲清楚
一人少句	只要一个人少说一句，架是很难吵起来的。
一人有福，带挈一屋	意同一人得道，鸡犬升天
一人行一步	指争执的双方不要互不相让，一人让一步，问题就好解决了。
一人计短，二人计长	一个人的脑袋是有限的，正如三个臭皮匠，胜过诸葛亮一样
一仆一碌	①连滚带爬②走路跌跌撞撞。
一代亲，二代表，三代点点头，四代嘴藐miu2藐	形容人的亲戚关系第一代很亲，第二代是表亲，第三代只是点点头而已，第四代则较为生疏了。
一分钱，一分货	一般情况下货品的质量是与价钱掛起钩的。
一匹布咁长	说来话长
一单	一件
一单还一单	这件事和那件事分开来说，不要混为一谈。
一句唔该使死人	「唔该」即谢谢，有些人随便句谢谢就拼命利用別人为己服务。
一句讲晒	说到底就是一句话
一句话讲晒	总之，一句说到底
一只屐	①垂头丧气的样子②指不值钱之物
一只筷子吃莲藕——督眼督鼻	①一只筷子吃莲藕只能找有眼的地方穿过去②指专找別人的茬
一只筷子食豆腐——搞镬晒	一只筷子是吃不了豆腐的，比喻只能搞砸
一向咁缩骨	一直以来他都是不够大方，没有义气。
一味吹	使劲地吹牛皮
一味恨嫁	形容一些上了年纪的女孩子，很想把自己嫁出去
一味靠滚	尽干一些邪门的勾当去骗取钱财。
一命二运三风水，四积阴德五读书	古人把读书排在第五位，把「命」、「运」这些难以把握的东西放在一二位，真的是不可理喻
一哥	一把手
一唔系	要不然，要么
一唔系嘅话	要不这样吧
一啖气	一口气
一啖沙糖一啖屎	形容干活既有容易做的，也有难做的或形容有时运气好，有运气差
一啲	一点
一啲冇花假	这件事，一点假都没有，绝对是真的
一啲啲	一点点儿，一些
一啲都唔惊	一点都不害怕、不惊慌。
一嚿	一块
一嚿云	云里雾里，糊里糊涂
一嚿佛	指坐在那不干活
一嚿嚿	一块块
一嚿水	指一百元
一嚿漏	缩成一团。
一嚿饭	骂人话，窝囊废，饭桶一个
一场嚟到	好不容易才来到，就请安下心来吧
一场老友	形容老朋友关系密切，认识的时间也不短了
一壳眼泪	形容悲伤流泪
一大嚿	一大块
一大排	过了一大段的时间
一天一地	形容小孩子吃饭弄得满地都是
一天都光晒	①雨过天晴②什么都明白了
一头一屘	指事情的开头和结尾，对象的头和尾
一头半个月	半个月到一个月的时间。
一头半月	指半个月到一个月之间的时间。
一头家务	家务事很多
一头烟	①事务缠身，头晕脑胀②无所适从，无从下手
一头雾水	丈二和尚摸不著头脑，纳闷。
一奶同胞	形容亲兄弟。
一子错，满盘皆落索	棋类用语，比喻工作是一环扣一环的，某一方面出了问题，就会影响到全盘大局
一字咁浅	指太浅显、太容易的东西
一字眉	形容平直的眼眉
一定中	划拳用语，表示一
一定得	肯定可以，一定取胜
一家便宜，两家著数	现在最时髦的说法就是「双赢」
一家唔知一家事	①通常情况是，你看我好，我看你好②家家都有本难念的经。
一家大细	一家老老少少的，一家子
一山还有一山高，山高还有树遮头	劝谕人们不要以为自己天下第一，学习是永无止境的
一岩一窟	①形容不平滑②高高低低，不整齐
一年唔发市，发市当三年	指某些做生意的人很久都做不成一桩，但如果做成功就会抬高价格，作为三年的利润。
一底	①整盘，专指糕点②打麻雀的筹码[注]麻雀开打前的初始筹码
一戙（音洞）都冇	①指赌输了钱，输得很惨②一点儿办法也没有。一戙指打「天九」，一迭牌四只为一戙
一手一脚	这项工作由始至终都是由某一个人去完成。
一打三分低	不管事情怎么样，你先动手打人，就输了道理
一把嘴	吱吱喳喳，话特別多
一把火	指心头火起，一肚子火
一抽二褦	①形容孩子多，牵这个，抱那个②大包小包的，指东西多。
一担daam3担daam1	①半斤八两②指两人一样的品行，多用于贬义
一拍两散	①两人意见不合而散伙②两败俱伤。
一拍坐	两人坐在一起
一拍就上	（贬义）指一见即合意
一拍行	两人肩并肩走
一捧随	一股子气味，多用于贬义
一控一射	指球员动作连贯，一停球马上打射门
一揇	张开大拇指和中指的长度
一搭三——冇交易	①借用番摊术语②指没有商量的余地。
一撇pit3水	指一千元
一日到黑	一天到晚，整天。
一日半日	一天半天。
一日唔见，如隔三秋	形容情人之间的思念和盼望。
一日行唔开	忙得很，整天都脱不开身。
一日都系你	都是你把事情搞砸了。
一时一个样	有一些人对上级和对下级面孔是不样的。
一时三刻	指比较短的时间
一时唔偷鸡就做乡长	经常做坏事的坏人有一天不做坏事了就扮正人君子。
一时时	①有时，②一时一时地
一朕味	一股味
一朝得志，语无伦次	大权独揽，得意忘形
一条数	一样的数。
一条气	①不停地，一口气②气喘吁吁，透不过气来。
一条肠到笃	①指直肠直肚②形容为人率直。
一条龙	扑克游戏，玩「十三张」时，拿到的十三张牌没有对子，可赢十三倍，不过出现的几率较少。
一枝公	独自一人，光杆儿一个
一样咁青春	经过一些打击，她照样是那么青春可爱。
一次过	就一次，一次为止
一沉百踩	即墙倒众人推，失败者总是受欺负
一煲捞	①一锅烩②买东西不能挑，好的坏的都得要，也叫「一捞过」
一物治一物，糯米治木虱	据民间故事：以前有一个馋妇，好吃懒做，时常偷偷躲在房间吃东西。有一天，她正躲在房裡偷吃糯米饭。忽然，听到婆婆进来，急忙之中她将碗筷藏进被子裡。但最终还是被婆婆发现了，婆婆疑惑地问：「你这是干什么呀？」媳妇红着脸说：「我听人说，一物治一物，糯米治木虱」后来，人们便用一物治一物，糯米治木虱来比喻一物降服一物。
一生儿女债，半世老婆奴	形容某些没多大本事的男人，一辈子就为了老婆儿女劳碌奔波。
一登	专门、专程。[注]未听过，同义词：专登；特登。
一白遮三丑	姑娘皮肤白皙，就可以掩盖很多不足的地方
一盅两件	老人家经常上茶楼喝早茶，通常是一盅茶，两件点心（两碟食品）就解决了
一盘水	黑道上称一万元
一眼关七	指十分机灵，眼观六路，耳听八方
一眼睇晒	即一目瞭然
一碌木	推一推动一动，呆呆地站在那。
一碌杉	比喻呆板站立，不叫不动的人。
一碌碌	一节节，一块块。
一碌葛	形容愚蠢，反应慢，迟钝
一碌薯	形容人蠢钝呆板。
一碗水露唔返一碗	比喻传言转述，难免失真
一碟斋噉	指有些人干活没有条理，留下一个烂摊子让人收拾
一种米养百种人	虽然吃的是同一种米饭，但人的个性却各不同
一竹篙打死一船人	以偏概全难免冤枉好人
一粒女	只有这一个女儿
一粒老鼠屎，整坏一锅粥	形容一个集体里有一个坏人，也会影响整个队伍的形象
一粒钟	指一个小时
一系	要么；或者。
一系为女人，一系为钱银	一般情况下，男性犯罪，一是为女人，一是为钱财
一肚计	比喻一肚子心计
一胆二力三功夫	说一个人参加武术比赛，一要胆识，二是有力气，第三才是技艺
一脚踏两船	指一个人同时与两位异性谈恋爱，到头来却没有什么好结果。
一脚踢	一力承担，一手包办
一自自	逐渐转移，慢慢变化
一节淡三圩	每当过完一个大节日，接下来一段时间集市的生意都是很淡的。
一蚊鸡	一元钱
一语八扯	以前的广州，没有风扇。有一家规模颇大的理发铺为此专门雇用一工人，在门口扯动大帆布，以给客人扇风。大概是这位仁兄工作不大努力，老板于是对他说了一番话：你扯就扯，唔扯就扯；扯就唔使扯，唔扯就要扯广州话的「扯」包含三层意思：①走、走开②回家③扯动。以上那段话包含八个「扯」字，你知道每个扯字的意思吗？
一谈滚，二谈熟，三谈口有福	广州人经常讲饮讲食，或许你在朋友家正谈论某种菜式，一会儿人家已端上来给你品嚐了
一路去	带着球直奔向对方球门。
一身潺	指惹了一身的麻烦事
一身筋	很辛苦，十分吃力
一身腥	比喻无端被牵扯进去
一身蚁	满身都有蚂蚁咬，真不好受
一轮嘴	花言巧语滔滔不绝。
一部通书睇到老	①一本皇历就看一辈子②不要用老眼光看新问题。
一部通书睇到老——食古不化	劝谕人们不要用老眼光来看新事物
一铺	一盘
一铺过	指赌博一盘定胜负。
一铺返唐山	①原指三藩市的华人在赌场上只要赢一盘，就够盘缠回家了②比喻什么都不管了，豁出去了
一镬泡	比喻一塌糊涂，一团糟
一镬熟	①一锅端，指全部都死光②全盘失败③像吃火锅那样把食物都放进锅里煮熟
一阔三大	一个四方形，条边要扩大，另外三条边也要接着扩大。比喻做一件事只要某一方面增加投入，其余的也要相应增加成本。
一阵烟	①一缕烟，一股烟②比喻一会儿消失
一阵间	一会儿，很短的时间。
一面屁	一鼻子灰，满脸羞惭
一额汗	①满头大汗②很麻烦
丁咁大	一丁点大，小个
丁香榄	①用香料泡制的橄榄②比喻又细又小的人或物
七七八八	七八成，差不多了，八九不离十。
七个一皮	①形容忙乱②十分忙碌。
七仆八坐九扶篱	指小孩子七个月可以翻身，八个月坐得好，九个月开始扶栏杆学走路
七国咁乱	指乱得一塌糊涂
七扶八插	源于插秧，指一人的工作要多人来帮忙。
七支八离	①前后不符②很辛苦③不可收拾。
七星仔	民间称怀胎七个月就提早出生的孩子，据说他们比较聪明
七樵樵	划拳用语，表示「七」
七老八十	指七八十岁的人
七除以二——唔三唔四	（等于三点五），不是三、不是四，那就是不三不四
七除八拆	七拆八扣，所得不多
万壽果	木瓜
万大有我	指天塌下来有我顶著，不用怕。
万字夹	指回形针
三下二下	①一下子功夫②一会儿
三下五落二	珠算术语，形容动作迅速
三两下手势	三两下就干好了，干净利落
三个女人一个圩	形容女人说话吱吱喳喳像赶集那样
三九两丁七	三几个人，没有多少人。
三九唔识七	指互相并不认识，显得陌生
三公	扑克牌游戏，每人三张牌，比点数大，三张都是公仔为大牌
三六	泛指狗肉。因三加六等于九，与狗谐音
三六九	旧时称警察，话剧《七十二家房客》中有位警察就叫「三六九」，十分出名
三几	不定数，三五个[注]多数讲「三几个；三几张；三几杯」
三分人，七分扮	长相佔三，打扮佔七
三分颜色上大红	只有一点本事就想做得很大
三及弟	①用猪肉、猪肝、猪腰煮的粥②戏称煮饭煮得上面生、中间烂、底下焦
三口六面	三几个人一齐对质。
三句唔理	说不上三句话，就吵起来了
三只手	顺手牵羊者，专指偷钱包的人
三只脚	指打麻将三缺一
三唔识七	指谁也不认识谁。
三天不念口生，三天不做手生	形象地比喻功多艺熟的道理
三头两日	隔三岔五地
三头二十	指二三十
三姑六婆	①指不务正业的妇女②形容爱搬弄是非的妇女。
三姑六婆，信口开河	爱搬弄是非的妇女说的话
三寸钉	比喻身材矮小的人
三尖八年	物品有棱角，凹凸分明。
三幅被	老一套，老花样。
三扒两拨	三下两下，形容快速
三推四搪	不断推诿，一再推搪。
三日两头	经常，三天两头地
三星公	划拳用语，代表三
三月三，擂槌大棍种得生	三四月的时节，雨水充足，最易种植，连木棍也会种得活。
三月田螺——一肚计（计谐仔）	①三月是田螺繁殖高峰期②比喻为有头脑，办法多
三朝两日	形容不测之事，即三长两短。
三板斧	①指技术、能力不高的人②就那么两三下
三步夹埋两步	心急如焚，快步前进
三步夹埋两步走	时间紧迫，加快脚步
三水佬攞鹩哥——要头水	源自民间故事，形容什么东西都要争先，要开头的。
三水佬睇走马灯——陆续有来	走马灯的图案就只有那几个，由好奇、无知带来的笑话。
三水佬考试——少个得个	传说以前三水有两父子去考试，后来有人告诉父亲，说你儿子考得不好，估计考不上了。父亲听后高兴地说，那不是更好，少了一个竞争对手。
三水佬食面——照板煮碗	意为外乡人不知就里，便如法炮制，有样学样
三煞位	迷信的人认为一些三叉（三个方向）的位置且又比较邪乎的地方。
三画王	指「王」字区別口语中的王、黄，因粤语此二字同音。
三索线	毒蛇名。
三群两队	指三五成群。
三脚凳	①比喻靠不住②指小陷阱
三脚猫	表面像个人才，实质差劲
三脚鸡	三个轮子的机动车，现多在小城镇上载客用。
三薕lim4	酸杨桃
三蛇	指三种毒蛇，即金脚带、过树榕、饭铲头[注]例：秋风起，三蛇肥（另词：秋风起，食腊味）
三行仔	指木匠、瓦匠、石匠三种行业的人，他们往往被人瞧不起
三衰六旺	形容人的运气往往一时好一时不好，绝不会全都好或全都不好。
三角唛	指三角内裤
三黄鸡	黄毛、黄脚、黄嘴的本地鸡，名贵，肉嫩鲜美。
上五寸，下五寸	脚板到膝盖的中间，只要碰一下也会十分疼痛
上便	上面，上边
上后备	换替补队员
上埋	已经上来
上堂	上课
上头屙个屁，下头走崩鼻	上级一句话，下级就要跑得焦头烂额
上家碰一碰，下家一碟餸	麻将术语，下家碰，马上轮到自己摸牌，容易捡到便宜
上屋搬下屋，唔见一箩谷	非常形象地说明每搬一次家，就会扔掉一大批旧的东西，犹如丟了一大箩稻谷。
上得唔落得	上去了却下不来，比喻有些当官的能上不能下
上得山多终遇虎	干坏事多的人终有一大会被人发现。
上得床来牵被冚	比喻得寸进尺。
上心	用心
上无盖头之瓦，下无立锥之地	上无片瓦，下面连站立的地方也没有，形容穷得极点。
上昼（音奏）	上午
上睇下睇	上看下看，仔细地看
上落	上下[注]电影《少林足球》台词：我分分钟都几百万上落架
上面蒸松糕，下面卖凉粉	形容个人的穿着，上身穿得厚实，下身穿得单薄。
下便	下面
下扒轻轻	指说话不负责任，随便许愿
下昼zau3	下午[注]=晏昼，另：淩晨=淩晨，天蒙蒙光=刚天亮，朝早=上午的前半部，上昼=上午，中午=中午，挨晚=近黄昏，晚黑/晚头黑=夜晚，夜妈妈=很夜，深夜=深夜
下栏	次等的；一般人看不起的[注]有时稍带贬义，例：读咗咁多书，去做三工啲噉样嘅下栏嘢，（三工：装修，泥水佬等）
下水	猪牛的内脏
下爬	下巴
下间	厨房
不外如是	再厉害也不过如此
不孬系噉	向来都是如此
不得可了	不得了啦
不歇噉	不停地
不特只	不仅仅，不只是
不醉无归	不喝醉，不尽兴就不回家，一醉方休
不问犹自可，一问三把火	比喻有些事不说起来还好，一说起来就会发火。
不问自取视为偷	不经过別人的同意就拿別人的东西会被视为偷窃。
丑人	小人
丑怪	样子不怎么漂亮
丑样	样子难看
丑样兼唔好脾气	有些人长相一般，脾气挺大。
丑死怪	①难看，丑八怪②羞死了，难为情。
丑死鬼	羞死人。
丑甩只耳仔送烧酒	小儿语，比喻不害羞。
丑话	人家不爱听的话
专登	专门
世上无绝对，只有真情趣	世间上的事不要看得太绝对，只有真情是长存的
世伯	称呼跟父亲感情很深且比父亲大的朋友
世侄	①旧时对通家后辈、朋友的儿子的称呼。②上年纪的人（一般是男性）对晚辈男性的称呼,略带轻视口吻：~，有啲嘢你仲要学咧！（年轻人，有些东西你还要学呢！）
世叔	称呼跟爸爸有交情的朋友
世界仔	指善于奉承、面面俱到、八面玲珑的人。
世界屘	①指过时，不时兴②末运，末路
东家唔打打西家	有力气不愁卖，到处都是打工的去处
东搵西搵	没有目标地乱找。
东莞腊肠——短肚阔封	多用来嘲笑个子矮又肥胖的人。
东行西行	胡乱地逛，漫无目的
东风螺	蜗牛
丝丝声	气压锅煮饭发出的声音。
丟假	丟尽了面子
丟晒我架	简直是把我的颜面给丟尽了
丟晒架	丟尽了颜面。
两三下手势	①三两下就搞定②比喻快刀斩乱麻
两三下散手	两三招就把他制服了
两仔爷	①父子俩②爷儿俩。
两公婆拜年——多此一举	春节期间，你看见有老公给老婆拜年的吗？反正我没见过。
两公婆见鬼——唔系你就系我	歇后语
两公婆责死仔——唔系你就系我	两公婆睡觉压死婴儿的事时有发生，不是你，就是我。
两头唔受中间受	指做中层的最受气，上面压，下面顶。
两头腾	转来转去，不得安閒。
两头蛇	①在两方之间挑拨是非、耍两面手法的人②象棋术语，指三七路兵抢先开出。
两头走	两边走来走去。
两头趯	即两边窜
两婆孙	祖母与孙子（或孙女）两人
两家好	划拳用语，代表二
两开	模棱两可
两撇须	指八字胡子。
两杯傻仔水	两三杯白酒
两梳蕉	两手伸出就好像香蕉，形容到別人家拜访没有买礼物
两步脚	形容很近，两步路就到了
两球波	指比赛的两支队伍不在同一档次，相差两个球
两眼湿湿	①两眼湿润，想哭的样子②因为激动，热泪盈眶。
两睇	不一定
两边两便	分开两边。
丫大嘴	张大嘴巴
中下	打磕睡
中中哋	马马虎虎，勉强过得去，中等水平
中停	中等
中坚	球队主力队员
中意	喜欢
中意靓	①形容很喜欢打扮②喜欢漂亮的女人
中意食	很喜欢吃。
中栊	射门中目标。
中气咁足	指个人说话时的气息、声音洪亮
中落	朝下冲
中褛	短大衣
串仔	小阿飞、小流氓
串女	女阿飞、女流氓
临天光濑尿	①差不多天亮了却在床上撒了一泡尿②比喻没能坚持到底，最后还是出了岔子
临屘衰	到最后才输球，黑色「三分钟」
临急临忙	时间仓促，急急忙忙
临急开坑	①想拉屎了才急急忙忙去挖坑②比喻没有做好準备工作
临急抱佛	平时不烧香拜佛，遇到急事才想起来要求佛祖帮忙
临急至开坑	①憋不住了才想起找地方解决②比喻工作没有计划性、预见性。
临时临急	突然间，没有计划的，临时应付。
临时搵脚	匆匆忙忙找人打牌或找人干活
临死咬返啖	形容比武场上的非君子行为，输了还要咬人家一口
临老入花丛	上了年纪还去逛妓院。
临老学人吹啲打	年轻时没学什么本事，到老了才现炒现卖
临老学吹打	到老了才想起要学一门手艺，迟不迟呢。
为wai4威喂	特指一班朋友吃饭实行AA制，谁也不欠谁
为wei4皮	①成本②成本高的
为wei4皮唔住	指成本太高，开销大，收入不够支出
为乜	为啥
为乜事	到底为了什么事。
为乜事干	到底为何事。
为乜嘢	到底为的是什么。
为人为到底，送佛送到西	为別人服务就要彻彻底底
为女死，为女亡，为女跌落莲藕塘	形容一些男人，为了女朋友什么事都可以干，甚至去死也在所不辞。这些不讲原则的事还是少做为佳。
为官最易，做吏最难	当官的可以指挥属下，而负责具体工作的只能靠自己解决。
为得过	合算，划得来
为老不尊，教坏子孙	劝谕上了年纪的人要注意自己的形象，否则会影响下一代的成长
为食	嘴馋
为食啄	指贪食者
为食猫	馋猫
为食鬼	比喻馋鬼，老想吃东西。
为食鬼，砧板蚁	源自儿歌，刀下觅食，比喻馋鬼。
为食鬼，砧板蚁，人咁高，你咁矮	讽刺那些嘴馋而又爱偷吃的小朋友
主人婆	仆人背后称其主母。
举头三尺有神灵	比喻只要你一做坏事，神灵就会看得到
举手不回正君子	①象棋术语，不能悔棋②意为不许吃后悔药。
乃naai5嘢	沾上不好的、倒楣的东西[注]例：成日去浦，家阵乃嘢啦（整天去娱乐场所玩，现在有了性病了吧）
乃念	①想着②体念
乃架步	①熟悉规程、知道情况②摸底、探听。
久时久	不时，隔不多时
之嘛	罢了
乌低腰	弯下腰来。
乌利单刀	一塌糊涂。
乌卒卒	①黑得好看②不知情
乌口乌面	形容人面色铁青，态度不好。
乌啄啄	一无所知糊里糊涂
乌天黑地	乌云翻滚，大雨将至
乌殊殊	意指茫无所知，丝毫不明其中底细。
乌眉瞌睡	①一副无精打采的样子②病态的样子
乌糟猫	不讲卫生的人
乌蝇	苍蝇
乌蝇搂马尾——一拍两散	①马的尾巴可用来驱赶飞虫②形容我得不到你也別想得到
乌雪雪	毫不知情，稀里糊涂
乌鼠	糊里糊涂的人。
乌龙	①一种茶叶②出了差错③糊里糊涂
乌龙王	①老是出差错的人②非常糊涂的人
乌龟配王八——好登对	大家都门当户对，一路货色
乔妙	真是太巧了
乔妙嘢	①巧合的事情②办事的方法与技巧。
乔死烂乔	无巧不成书，真是巧得不能再巧了
