𫵱	cat6 【俗】男生殖器。
𡄵牙𠾴哨	ji1 ngaa4 baang6 saau3 呲牙咧嘴。嗰个嘢～，好鬼难睇啊。(那个人呲牙咧嘴的，真难看。)
𡄵牙𠾴哨	ji1 ngaa4 baang6 saau3 【贬】本义为呲牙咧嘴，引申为 说话。喺度唔到你嚟～！(这里轮不到你来卖嘴皮子！)
𡀖	but1 汽车鸣笛声；架车～声开走咗。(车子嘟的一声开走了。)
𡀖𡀖车	but1 but1 ce1【儿】汽车(「𡀖𡀖」是摹拟喇机声)。
𩓥(岳)	ngok6 仰(头)。～高个头。(仰起头。)
𢃇	lei5 𢃇音李lei5。船帆。有风唔好驶尽～。(有风别把帆完全张开。喻做事勿做得太尽。)
𢰸	wo5 鸡蛋、鸭蛋等变质。呢只蛋～咗。(这个蛋坏了。)
𢰸	wo5 【喻】失败；落空。呢单嘢卒之～咗。(这件事最终黄了。)│阿霞同王仔拍拖拍咗半年，都是～咗收场。(小霞和小王谈恋爱谈了半年，还是以失败收场。)
㩋(箾)	sok1 (用细棍子)打。净系夹餸唔食饭，用筷子～㗎。(光吃菜不吃饭，就用筷子打了。)
𦜖定(埞)	ngaa6 deng6 占地方(𦜖：占；埞：地方)。呢对鞋唔好揼，放喺度又唔～。(这双鞋别扔，放在这儿又不占地方。)
𦜖膪	ngaa6 zaa6 霸道。呢度唔到你嚟～！(这儿轮不到你来横行霸道！)
𦜖膪	ngaa6 zaa6 体积过大，占地方。呢个木箱太～，阻住条路。(这个木箱太占地方，把路给堵了。)
𥀬	jim2 音掩。痂。伤口上便嗰块～仲唔煎得住。(伤口上的痂还不能揭下来。)
𤖴	saak3 用于切开的食物，一般是角形的；块。一～糕│将西瓜切开几～。(把西瓜切成几块。)
𤖴	saak3 ①表示有方向性的地域。嗰一～都系山。(那边一片都是山。)│东便嗰～讲客家话嘅。(东边那一片是讲客家话的。)②表示被分切开的一块面积；片。你呢～地大过佢嗰～一啲。(你这一片地比他那一片大一点儿。)
𤖴角	saak3 gok3 边角；角上的位置。我就要呢～埞方够嘞。(我就要这个角的地方够了。)
𤙴(觘)	caau1 音抄。(牛、羊等)以角触人。唔好逗啲牛啊，～你㗎。(别碰那些牛，它会用角撞你的。)
𥊼	caang4 同「𥊼眼」。眼灯～住，我瞓唔着觉。(这灯照着眼，我睡不着觉。)
𥊼眼	caang4 ngaan5 炫目；刺眼。呢盏台灯～过头，换过盏畀我啦。(这盏台灯太晃眼了，给我换另外一盏吧。)
𥹉	nap6 黏糊。冇得冲凉，成身～到死。(不能洗澡，全身黏黏糊糊。)
𥹉称称	nap6 cing3 cing3 同「-黐黐」。
𥹉糯	nap6 no6 慢性子。佢个人好～嘅。(他这人性子很慢。)
𥹉黐黐	nap6 cing3 cing3 黏糊糊(略带贬义)。佢唔知整咗啲乜～嘅嘢喺张枱度。(他不知弄了些什么黏糊糊的东西在桌上。)
(⿰米刂) (咪)	mai1 【喻】本义为刻，比喻刻苦攻读。～书(啃书本)│唔好～得太犀利啊，要注意身子先得㗎！(别太用功了，要注意身体才行啊！)
(⿰米刂)家	mai1 gaa1 音米第1声。【谑】【褒】读书或钻研问题很刻苦用功的人。好似你哋阿三噉嘅～而家难揾喇！(像你们老三这样刻苦读书的人现在难找了！)
𦤦	hot3 某些动物身上发出的腥臭。只狗要同佢冲凉㗎，唔系就～到死。(这狗要给它洗澡，不然就腥臭得很。)
𦧺	laai2 舔。食完饭，仲～干净啲汁。(吃完饭，还把菜汁舔干净。)
詏数口	aau3 sou3 hau2 同「讲数口」(詏：争论)。[又作「詏数」。]
𨂾	naam3 一步的距离；步。呢道门到嗰道门有五～远。(这扇门到那扇门有五步远。)
𨂾	naam3 ①跨。条坑渠咁窄，～都～得过去啦。(这沟渠这么窄，就这样跨过去都可以。)②用脚步测量长度。～下呢度有几长。(用脚步量一下这里有多长。)
𨂾光黑	naam3 gwong1 haak1(hak1) 从天刚亮到天黑这段时间；傍晚(𨂾：跨)。
𨃩	sin3 滑倒。地下湿，因住～亲。(地上湿，小心滑倒。)
𨃩	sin3 滑。落过雨，地下好～。(下过雨，地上很滑。)
𨃩西瓜皮	sin3 sai1 gwaa1 pei4 【喻】放西瓜皮给人踩，使人滑倒(𨃩：滑)，比喻暗中设置困难等来害人(往往指由受害人意料不到的人来施行)。我呢次若果唔系畀人～就唔会执输。(我这一次如果不是让人背后放冷箭就不会落败。)
𨀤	leoi1 (头朝下)倒下；栽。佢～咗喺度，晕咗。(他栽倒在那儿，昏了过去。)
𨭌	paang1 有盖且较大的金属食器和炊器的泛称。有时也指其他金属容器，如铁桶等。
𩜠𩜠	mam1 mam1 【儿】小孩的饭食。BB，食～喇。(宝贝儿，吃饭了。)[ 另一读音ngam1]
𪐀	naa1 同「同」。想要就～佢攞。(想要就向他要。)│～阿嫲添饭啦。(替奶奶盛饭吧。)
𪐀	naa1 ①连接两个并列的事物或人；和。大佬～细佬(哥哥和弟弟)②表示协同、共同(做事)；同；和。我哋～你玩。(我们和你玩儿。)③表示事情关联的对象；同；和。呢件事～你冇关系。(这件事和你没关系。)④表示比较的对象；同；和。攞我～佢比就好难比嘅。(拿我同他比是很难比的。)
𪐀㨢	naa1 nang3 关系；能牵扯上的事情(𪐀：粘；㨢：相连)。我同佢冇～㗎。(我和他没有任何关系。)
𪐀埋	naa1 maai4 同「𪐀①②」。呢件衫～呢条裤合共几多钱？(这件上衣和这条裤子，一共多少钱？)│最好你得闲～我去。(最好你有空跟我一起去。)
𪐀经(耕)	naa1 gaang1 关系；联系(𪐀：粘；经：棉被胎上的网线)，多用于否定。啲提示同条题都冇啲～嘅。(那些提示和那道题都毫无关系的。)
AA制	ei1 ei1 zai3 多人一起吃饭(一般是在饭店)，各人分摊费用。
BB	bi4 bi1 【昵】【外】婴儿。[英语baby。又作「BB仔」]
BB机	bi1 bi1 gei1 BP机。
CALL	ko1 用BP系统寻呼。即刻～佢，叫佢复机。(马上呼他，要他回电话。)[英语call。香港人使用此词一般指打电话，广州人则一般指寻呼]
CALL机	ko1 gei1 【外】BP机，无线电寻呼机。
CANCER	ken1 saa2 【外】癌症。
CHECK	cek1【外】①查验；复查。阿文打过啲数我都要由头～一次。(阿文算过的数我都要从头复查一遍。)②稽查。你噉样畀人～倒，罚到你死啊！(你这样让人查出来，罚得你受不了！)
D	di2 【外】扑克2。2字似鸭子，取英语duck(鸭子)之第一字母为称。
FAX	fek1 si4 【外】电传。我～过去畀你。(我用电传传过去给你。)[英语facsimile telegraph，简作fax。广州话有时亦简化只读第一个音]
FRIEND	fen1 朋友。[英语friend，进入广州话后读音有所改变]
GAME	gem1 【外】(乒乓球等)打输；输掉一局。咁快就～咗。(这么快就输了。)[不用于较正式的场合。]
GAME	gem1 【外】用于乒乓球等；局。五～三胜│二十一分～(二十一分一局)[源于英语]
K客	kei1 haak3 【外】【俗】来自香港的人。[英译「港」KONG的首字母为K]
NET波	nep1 bo1 【外】擦网球。[来自英语net ball，但读音在广州话中稍有变化]
PAT-PAT	pet3 pet3 【谑】原是纸尿片的商标，转义指婴幼儿的屁股。唔好曳啊，曳就打～㗎。(别淘气，淘气就要打屁股啦。)
T裇	ti1 seot1 【外】有领短袖套头衫。一般无钮扣，或领口处仅有钮扣两三枚。因整体形状像英文字母T，故名。[「裇」为英语shirt的音音译]
VAN仔	wen1 zai2 【外】客货两用小汽车。[英语van的半音译词]
𠾴	baang4 ①重击声。②枪声；鞭炮声等。畀人～一枪打低咗。(让人砰的一枪打倒了。) 注：原书有音无字。
𠾴	baang4。枪毙。爆格杀人实听畀人～喇。(入屋盗窃还杀人，等着给枪崩吧。)[本是对枪声的模仿。] 注：原书有音无字。
𠾴	baang4 【俗】卖。嗰种款式嘅衫我冚𠾴唥～晒喇。(那种款式的衣服我全都卖光了。) 注：原书有音无字。
囗	toe3 (蜂类)蜇。好生畀蜜蜂～亲。(小心让蜜蜂蜇了。)
囗	soet6 飞掠的声音。～声飞走咗。(嗤溜一声飞走了。)
囗	soe4 滑落声。～声落晒嚟。(哗一下全下来了。)
囗	soe4 ①往下滑。～滑梯(滑滑梯)│嗰度斜得滞，趸亲上去都～翻 落嚟。(那儿太陡了，放上去都滑下来。)②(高耸的东西)斜着崩塌。嗰㨆砖～咗成边落嚟。(那摞砖头整半边塌了下来。)
囗	pu4 用力喷吐的声音。～声吐晒出嚟(「噗」的一声全吐了出来。)
囗	pu4 用力吐；用强烈气流往外吐；用嘴喷。我啱啱呷一啖就～咗出嚟。(我刚喝一口就一下吐了出来。)
囗	oet6 小量地呕吐；嗳酸(胃内酸性液体逆流到口腔)。～酸水│一咳亲肚里头啲嘢就好似想～上嚟噉。(一咳嗽肚子里头的东西就好像要反上来似的。)
囗	oet6 嗝儿。打咗个～。(打了个嗝儿。)
囗	oet6 呕吐的声音。
囗	oe1。同㗾(嘘)。
囗	nget1 ①门轴等转动的声音。道门～声打开咗。(那门吱呀一声打开了。)②木构件等受压发出的声音。条担挑～～声，断咁滞。。(那扁担吱吱地响，快要断了。)
囗	nge5。迟延；磨蹭；拖(时间)。你噉样～下～下，啲时间就～晒过去㗎嘞！(你这样磨来蹭去，时间就全磨过去了！)
𦧲	loe2 纠缠着提出请求(多指小孩对大人)。～佢妈咪买雪条。(缠着要他妈妈买冰棍。) 注：原书有音无字。
𦧲	loe2。反复揩擦；辗转揩擦；使软、硬物相揩擦，并使软物沾上液体或糊状物、粉状物。攞啲菜～干净个碟啲汁。(用菜抹干净盘子上的汁。) 注：原书有音无字。
纩	kwang3 ①绊住；勾住。畀树枝～住咗佢条辫。(她的辫子被树枝挂住了。)│啲水草～实个鱼钩。(水草绊住了鱼钩。)②被勾住而划破。～烂个衫袖。(剐破了衣袖。)│响眼钉度～损只手。(被钉子划破了手。) 注：原书有音无字。
囗	kit1 笑声。忍唔住～一声笑咗出嚟。(忍不住扑嗤一声笑出来。)
囗	jeot1 揉(使皱)。呢只布一～就巢。(这种布一揉就皱。)
啹	goe1(koe1) 揉搓成团。未写得两只字就～咗掉落宇纸箩。(没写两个字就抓成一团扔进废纸篓。) 注：原书有音无字。
啹	goe1 噘起个嘴。(噘起嘴巴。) 注：原书有音无字。
𢝵	fit1 (用细软的条状物)轻轻地抽打。佢～只牛，赶佢行。(他轻轻地抽打牛，赶它走。) 注：原书有音无字。
𠱥	fik6(fak6) 甩动；摆动。 注：原书有音无字。
𠱥	fik6、fak6。甩；抡。～下支笔。(把笔甩一甩。) 注：原书有音无字。
礊	faak3 (用软而韧的枝状物)抽打。呢个爸爸打细路都唔锡住嘅，～到个仔成身起晒楞。(这个爸爸打小孩一点儿也不留情，打得他儿子浑身鞭子痕。) 注：原书有音无字。
礊	faak3 (枝状物)猛地摆动或倒下(尤指有可能造成伤害或破坏的)。嗰边拆紧棚，因住畀竹枝～亲啊。(那边正在拆脚手架，小心让竹竿打着。) 注：原书有音无字。
礊	faak3。计算(多用于钱款)。听我翻去慢慢～过就知为唔为得过嘞。(等我回去慢慢算过就知道划算不划算了。)[原指用力拨动算盘珠的动作。] 注：原书有音无字。
吃	cu2 【俗】【谑】吃。而家呢个年头有得～就～，点知听日仲有冇命叹㗎。(现在这个年头有吃的就吃，谁知道明天还有没有命享受。)[这是对普通话「吃」字音的模仿] 注：原书有音无字。
囗	bap6 心跳声。我一听倒个心就～声跳(我一听到心里就突地跳一下。)
囗	bap6 ①重物落地声。②跳跃声。佢～声扎咗上去。(他啪的一声跳了上去。)
𠺬	音he2 (囗表示有音却没考正到的字)。表示希望对方同意自己的说法。都几抵～？(还挺值的是吧？)│大翻啲就好喇～？(再大点儿就好了，对不对？) 注：原书有音无字。
囗囗囗	oe4 oe1 oe3。公鸡啼声。
囗囗囗囗	gwit1 gwit1 gwet1 gwet1 金属磨刮的刺耳响声。上便刮乜嘢刮到～啊？(上面刮什么东西声音那么刺耳呀？)
囗囗囗囗	fi4 fi4(fit4 fit4)fet6 fet6 因流鼻水而抽鼻子的声音，一般用以指：①抽泣。喊到～。(哭得一把鼻涕一把泪。)②伤风或鼻炎等。)你～噉，系咪要食啲药啊？(你老抽鼻子，是不是要吃点药？)
叽叽趷趷	gi1 gi1 gat6 gat6 结结巴巴。
𪚩𪚩呱呱	gwi1 gwi1 gwaa1 gwaa1 吵嚷声。你班友仔～嘈实晒！(你们这帮家伙哇啦哇啦地吵着人家！)
囗囗咔咔	ki1 ki1 kaa1 kaa1 大声地笑；毫无顾忌地笑。远远就听倒你哋喺度～。(远远地就听见你们在这儿哈哈大笑。)│喺呢个地方～，似乜嘢！(在这种地方放肆地嘻嘻哈哈，像什么样子！)[本为对笑声的摹仿]
囗囗哦哦	ngi4 ngi4(1) ngo4 ngo4 支支吾吾。
囗囗声	wiu2 wiu2 seng1 警报器的声音。架警车～嚟嘞。(警车呜呜地来了。)
囗囗声	oet4 oet2 seng1 ①哭得很凄惨的声音。～噉喊(呜呜地哭)。②鼻鼾声。
囗囗声	gwet1 gwet1 seng1 金属磨刮的刺耳响声。
囗囗声	gwet1 gwet1 seng1 小孩的尖叫声。你唔好～得唔得啊？(你别尖叫行不行？)
囗囗声	goet4 goet2 seng1 鼻鼾声。～瞓着咗(呼呼地睡着了)。
齮齮牙牙	ngi4 ngi4(1) ngaa4 ngaa4 支支吾吾。问亲佢佢都～唔肯讲。(每次问他他都支支吾吾不肯说。) 注：原书有音无字。
喴哗鬼叫	wi1 waa1(gwi1 gwaa1) gwai2 giu3【贬】【喻】喧哗吵闹。四周围～，我点安得落心嚟睇书噃！ (到处吵吵闹闹，我怎么安得下心来看书呢！)
喴哗鬼震	wi1 waa1 gwai2 zan3 同「喴哗鬼叫」。
纩㨢	kwang3 nang3 用于成串的、有点凌乱或累赘的东西；串。左手一～、右手一～都系秀姑叫佢买嘅嘢。(左手一串、右手一包都是秀姑叫他买的。)
喴呜喴呜	wi1 wu3 wi1 wu3 警报器的声音。
𦧲地	loe2 dei6-2 (用身体)在地上揩擦；滚爬。唔好～！(别拿身体在地上蹭！) 注：原书有音无字。
礊水蛋	faak3 seoi2 daan6-2 同「蒸水蛋」(礊：搅拌)。 注：原书有音无字。
𪙛牙	nak1 ngaa4-2 同「黐脷根」。
叽趷	gi1 gat6 做有碍或有害于人的事。成日喺度叽叽趷趷。(整天在那儿兴风作浪。)│佢再系噉就～佢！(他还是那样就整他！)
叽趷	gi1 gat6 【贬】梗阻；办事不顺利的情况。呢件事由开初到最尾都唔知碰倒几多～。(这件事从开头到最后也不知遇到多少梗阻。)
㓢	lok1 用钳子等拔。～眼钉出嚟。(把钉子拔出来。)
㓢牙	lok1 ngaa4 拔牙(㓢：钳拔)。
㓤	gat1 刺；扎。喺箱上便～个窿。(在箱子上扎个洞。)│畀玻璃～亲。(被玻璃片割伤。)
㗎	gaa4 相当于「嘅」加上「啊2」。系胡小姐～？(是胡小姐的吗？)│唔畀搦出嚟～？(不让拿出来的吗？)[参见「嘅1」]
㗎	gaa3 表示肯定(口气较重)。我唔知～！(我不知道呀！)
㗎	gaa3 ①表示某种疑问。点解唔见咗～？(怎么不见了呢？)②表示某种反问。噉点得～？(这怎么行呢？)
㗾	hoe4 水流声。～噉流出嚟。(哗的流出来。)
㗾	hoe4 哈(气)；张口呼气。～出啲气一𩗴酒𡃴。(哈出的气一股酒味。)
㗾2(嘘)	hoe1 对人起哄、喝倒彩；以嘘声来制止或驱逐人。未讲得几句就畀人～咗落台。(没说上几句就被人轰了下台。)
㗾㗾声	hoe4 hoe4 seng1 水流声。
㗾㗾声	hoe4 hoe2 seng1 ①众人嘈杂的声音。②气喘声。行唔得几步就～嘞。(没走几步就喘得厉害。)
㜺	zaan2 好。～鬼(非常好)│呢件事做得唔～。(这件事做得不好。)
㜺鬼	zaan2 gwai2 有趣；诙谐(㜺：好)。呢幅漫画真系～咧。(这幅漫画真有趣。)
㞓	hai1 【俗】女生殖器。
㞘(䐁)底	duk1 dai2 ①容器等内部的最底下。最尾喺柜筒～揾倒出嚟。(最后在抽屉最底下找了出来。)②物体的底部。
㞘(䐁、笃)	duk1 ①容器等内部的最底下；长条空间的最顶端(不与外部空间相通)。个桶～剩得啲渣喺度。(桶底下只剩了些渣子在那儿。)│巷～嗰度有樖树。(胡同的尽头那儿有一棵树。)②物体的底部。个煲个～坐正火头就会熄。(锅底正正坐在火头上，火就会熄灭。)[又作「㞘㞘」]
㤿憸(淹尖)	jim1 zim1 【贬】爱挑剔。买样嘢拣嚟拣去，男人老狗仲～过啲师奶！(买一样东西挑来挑去，大男人比女人还挑剔！)
㤿憸腥闷	jim1 zim1 seng1 mun6 【贬】极为挑剔。
㧗	ci2 撕扯。你咪系咁～张被啦，烂㗎。(你别这样撕扯被子，会破的。)
㧤	cung3 捅；戳。攞条竹嚟～个黄蜂窦落嚟。(拿根竹子来把那马蜂窝杵下来。)
㧬	ung2 推。～门(推门)│～佢出门口。(推他出门口。)
㨆	lam6 用于堆砌起来的东西；摞、垛、堆。一～砖│一～水泥
㨆	lam6 堆砌。～堆(把物件垒成堆)│将啲砖～起佢。(把这些砖头摞起来。)
㨘	saang2 训斥。畀老细～咗餐。(给老板训斥了一顿。)│～猫面(当面训斥)
喝神喝鬼	hot3 san4 hot3 gwai2 【喻】【贬】骂人；大声地喝斥人。一嚟到就～，食咗火药噉。(一来到就呼幺喝六地骂人，像吃了火药似的。)
㨘	saang2 用力刷洗(器具等)。～下个煲。(把锅刷洗一下。)│攞沙嚟～。(用沙子擦洗。)
㨘牛王	saang2 ngau4 wong4 强取或霸占别人的东两；勒索。
㨢	nang3 细细地相连。条线～住只纸鹞。(那根线牵着风筝。)│～条绳过嚟。(拉一根绳子过来。)
㨢	nang3 用于成串的东西(一般是不很整齐的)；串。一～荔枝
㨢㨢跳	nang3 nang3 tiu3 同「扎扎跳」。
㩧	bok1 (用棍棒等)敲、打。佢畀人～到成头血。(他被人打得满头是血。)
㩧2(𧟵)	bok1 【贬】土气。你咁～㗎，噉都唔识？(你怎么这么老土，这都不懂？)│佢讲句话都～过人嘅。(他开口说话都显得特别土气。)[「㩧2(𧟵)佬」(参见一F2)是对农民的蔑称]
㩧㩧 (卜卜)脆	bok1 bok1 ceoi3 非常松脆(常指食物)。～啲嘢系就系好食，之好热气。(松脆的食品是蛮好吃，可就是上火。)[香港审音网脆音ceoi3。又作「脆㩧㩧」]
㩧佬	pok1 lou2 【贬】对农民侮辱性的称呼。
㩧湿	bok1 sap1 【俗】打得头破血流；殴伤(㩧：棒击；湿：指出血)。你够胆再嚟就～你！(你敢再来就打破你的脑袋！)
㩺	pei1 物品的表面或边缘有少许残破。条裤膝头哥处开始～嘞。(这裤子膝盖那地方开始起毛了。)│只杯有啲～口。(这杯子的杯口有点儿破。)│张席未瞓得半年啲边就～嘞。(这席子没睡半年边上就破了。)
㪉(夹)份	gap3(gaap3) fan6-2 合伙。～做生意。(合伙做生意。)
㪉(夹)挡	gap3(gaap3) dong3 合作。我哋两个～㪉咗有成年喇。(我们俩合作有一年了。)
㪉(夹)档	gap3(gaap3) dong3 同「拍档」。
㪉(夹)档	gap3(gaap3) dong3 同「拍档」。唔～好难一齐做嘢嘅。(合 不来很难一起做事的。)
㪉(夹)计	gap3(gaap3) gai3-2 共同商量进行某种活动；合谋(㪉：凑聚)。大家一齐嚟～。(大家一起来商量。)
㪉(夹)	gap3(gaap3) 合得来；合作得好。我哋嗰度冇边个话同侯师傅唔～𠺝。(我们那儿没有谁跟侯师傅合不来嘛！)
㪉(夹)	gap3(gaap3) 合作。我嚟同你～啦。(我来跟你合作吧。)
㪉(夹)	gap3(gaap3) ①凑聚；聚集。几个人～咪够钱啰。(几个人凑一凑不就够钱了吗。)②拼合。就噉攞啲零件～起之嘛。(不过是就这样拿一些零件拼起来。)
㪉(夹)伙	gap3(gaap3) fo2 合伙自办伙食。
㪉(夹)伙	gap3(gaap3)同「㪉 (夹)份」。多啲人～好定唔好呢？(多些人合伙好还是不好？)
㪉(夹)手	gap3(gaap3) sau2 互相配合。～做好呢件嘢。(互相配合做好这件事。)
㪉口	gap3(gaap3) hau2 接口(机件之间的接合处。㪉：合)。
㫰	long6 ①晾挂；晾晒(衣物等)。啲衫唔好～出去嘞，睇个天都快落雨嘞。(那些衣服别晾挂出去，看天色快要下雨了。)②挂(蚊帐)。咁多蚊，唔～蚊帐点瞓啊？(这么多蚊子，不挂蚊帐怎么睡觉？)
㷫	hing3 热。你个额头好～，系唔系发烧啊？(你的额头很烫，是不是发烧呀？)│天口～。(天气热。)
㷫	hing3 烘烤使干或使暖、热。～干条裤(把裤子烤干)。
㷫	hing3 【喻】【俗】本义是热，比喻生气。你咪搞得我～起上嚟下！(你可别弄得我生起气来啊！)
㷫	hing3 【喻】【俗】本义是热，比喻兴奋。一讲到呢样佢就～嘞。(一说到这个他就来劲了。)
㷫烚烚	hing3 hap6 hap6 热烘烘。呢间房～，成个炕炉噉。(这间房子热烘烘的，活像个烤炉。)
㾓	jyun1 㾓音冤。酸痛。行到对脚～到乜嘢噉。(走得两条腿酸痛得什么似的。)
㾓气	jyun1 hei3 心里不痛快；反感(㾓：酸痛)。
㾓痛	jyun1 tung3 酸痛。做咗一日，周身～。(干了一天，全身又酸又痛。)
㿭	caak3 音拆。(声音)沙哑。佢呢两日把声都～晒。(他这两天嗓子全沙哑了。)
䀹	sip3 眨。
䁋	hip3 闭(眼)。
䁪	zaam2 眨。睇到眼都唔～下。(看得眼睛也不眨。)│你点解猛～眼嘅？入咗沙咩？(你干吗老眨眼睛？进了沙子吗？)
䁪下眼	zaam2 haa5 ngaan5 极短的时间(䁪：眨)；瞬间。～唔见咗。(一眨眼不见了。)│～就到嘞。(眨眼工夫就到了。)
䁪眉䁪眼	zaam2 mei4 zaam2 ngaan5 挤眉弄眼。你两个～，有乜鬼怪嘢呢！(你们俩挤眉弄眼的，有什么作怪的事吧！)
䂻	zaang6 硬塞。～爆。(硬塞以致爆裂。)
䅺青	biu1 ceng1 杰出；突出；出众。佢读书喺班上最～。(他在班上学习最出众。)
䉺	hong2 (米、面等)发霉变质。～米(发霉变质的米)
䉺	hong2 (皮肤等)因缺乏油脂而干燥。而家天时块面～嘅，要搽啲护肤霜至得。(现在这种天气搞得脸很干燥。要搽些护肤霜才行。)
䉺	hong2 陈米发霉的气味。啲米好旧喇，一𩗴～味。(这些米很陈了，一股霉味儿。)
䉺	hong2 菜因缺油而乏味。你系唔系唔记得落油啊，啲菜咁～嘅？(你是不是忘了放油哇，这菜怎么没点儿油味？)
䋨	pau3 不结实；松软；泡(pāo)。呢嚿木头～㗎，啲钉用手就揿得入去。(这块木头是泡的，用手就能把钉子摁进去。)
䍇	taap3 音塔。一种底宽口小的坛子，陶质。
䒐	mang2 脾气大；容易烦躁。
䒐	mang2 烦躁；暴躁。未话得佢两句，佢就～起上嚟。(没说他几句，他就烦躁起来。)
䒐䒏	mang2 zang2 同「䒐」。
䒐䒏(䁅盯、𤷪𤺧)	mang2 zang2。同「䒐」。
䒐姜	mang2 goeng1。性格急躁的人(䒐：急躁、烦躁)
䚕	lai6 严厉地看。你妈妈～实你啊，你仲喐嚟喐去。(你妈妈看着你呀，还动来动去的。)
䟴	ngan3 抖(腿)。佢只脚～下～下。(他的腿一抖一抖的。)│～～脚(抖着腿。形容悠游自在的样子。)
䟴	ngan3 利用弹力向高处跳；弹跳。一～就上咗瓦背顶。(一跳就上了房顶。)
䟴	ngan3。上下弹动；抖动。支竹～下～下。(那竹子上下抖动着。)
䟴䟴板	ngan3 ngan3 baan2 跷跷板。一种儿童体育活动用具。用木架支持住一块长木板的中心，两人对坐两端，轮流用脚蹬地，使身体随木板上下起落(䟴：上下弹动)。
䟴䟴脚	ngan3 ngan3 goek3 【喻】抖动着腿(许多人坐着的时候的一种习惯动作)，比喻悠闲的样子。佢做完自己啲嘢就～噉睇人哋做。(他干完自己的活儿就悠哉游哉地看别人干。)
䟴高	ngan3 gou1 踮起(脚跟)。
䩩	jyun2 秤盘；称重时的载具(如箩筐、桶、瓶等，扣除其重量即为所称物的净重)。将要称嘅嘢放落个～度。(把要称的东西放进秤盘里。)│呢个重量未除～㗎。(这个重量没扣除载具的。)
䪯䪯声	ang4 ang4 seng1 发牢骚。佢成日～，梗系畀人扣咗奖金嘞。(他整天牢骚满腹，肯定是给扣了奖金。)
䪯䪯声	ang4 ang2 seng1 呻吟。成日听你～，边度唔妥啊？(整天听见你在哼哼，哪儿不舒服？)
䭦罉(铛)	bok3 cang1 一种薄烙饼。有咸、甜两种。多以糯米粉做成，与用面粉所制的烙饼稍有不同(罉：平底锅)。
一于	jat1 jyu1 表示确定(某种做法)；下决心；无论如何。我～要揾佢倾一次。(我一定要找他谈一次。)│你～听日就去报名啦。(你别管其他，明天就去报名吧。)
一仆二辘(碌)	jat1 puk1 ji6 luk1 连滚带爬。佢哋～噉行咗半个钟先到。(他们连滚带爬地走了半个小时才到。)[又作「一仆一辘(碌)」]
